№,Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
271,N’Ko,ߒߞߏ,nqo,"1,254","2,538","9,713",1,"2,791",15,0,4,1000
272,Xhosa,isiXhosa,xh,"1,226","3,791","33,786",1,"11,6",21,0,39,1000
273,Tahitian,Reo Mā`ohi,ty,"1,218","3,007","53,052",2,"6,808",9,0,38,1000
274,Mon,မန်,mnw,"1,217","4,479","33,218",2,"2,588",20,0,53,1000
275,Kashmiri,कश्मीरी / كشميري,ks,"1,162","7,506","60,568",2,"9,239",24,9,241,1000
276,Old Church Slavonic,Словѣньскъ,cu,"1,161","5,551","82,471",2,"22,889",21,0,212,1000
277,Tachelhit,Taclḥit,shi,"1,127","3,79","33,072",2,"1,408",15,0,49,1000
278,Sranan,Sranantongo,srn,"1,112","2,722","39,071",1,"6,984",12,0,30,1000
279,Seediq,Taroko,trv,"1,107","2,051","84,692",0,"1,145",12,0,30,1000
280,Oromo,Oromoo,om,"1,088","3,719","37,855",1,"9,347",21,0,60,1000
281,Samoan,Gagana Samoa,sm,"1,062","3,257","42,463",1,"9,558",15,0,56,1000
282,Guianan Creole,Kriyòl Gwiyannen,gcr,"1,049","2,553","16,187",1,"2,136",10,0,13,1000
283,Southern Altai,Алтай,alt,"1,044","3,563","35,657",2,"1,558",8,0,58,1000
284,Cherokee,ᏣᎳᎩ,chr,"1,025","3,9","46,109",1,"21,619",16,0,93,1000
285,Latgalian,Latgaļu,ltg,"1,014","3,22","35,301",1,"6,635",10,0,52,1000
286,Chichewa,Chichewa,ny,913,"3,998","37,724",2,"9,281",18,0,108,100
287,Norfolk,Norfuk,pih,891,"3,32","44,065",1,"10,387",21,0,99,100
288,Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,got,863,"3,792","46,071",1,"17,579",18,0,140,100
289,Madurese,Madhurâ,mad,857,"1,62","8,381",0,"1,505",12,0,4,100
290,Gun,Gungbe,guw,837,"1,253","25,151",1,425,26,0,5,100
291,Sesotho,Sesotho,st,835,"4,229","28,282",1,"9,341",18,0,110,100
292,Amis,Pangcah,ami,824,"1,651","31,917",0,841,16,0,19,100
293,Tswana,Setswana,tn,753,"3,186","26,63",2,"9,147",20,0,87,100
294,Romani,romani - रोमानी,rmy,729,"2,694","50,025",2,"16,308",13,0,135,100
295,Bambara,Bamanankan,bm,725,"3,128","40,145",2,"9,786",16,0,141,100
296,Tsonga,Xitsonga,ts,711,"3,744","36,554",2,"8,749",12,0,178,100
297,Cheyenne,Tsetsêhestâhese,chy,663,"2,258","24,091",1,"10,519",11,0,62,100
298,Venda,Tshivenda,ve,637,"2,117","19,09",1,"7,132",9,0,49,100
299,Kirundi,Ikirundi,rn,615,"2,439","23,055",1,"8,913",25,0,83,100
300,Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu,593,"3,175","44,469",2,"16,871",16,0,266,100
301,Akan,Akana,ak,590,"2,427","28,822",1,"12,259",20,0,115,100
302,Swati,SiSwati,ss,552,"2,382","38,017",3,"7,562",14,0,175,100
303,Chamorro,Chamoru,ch,541,"2,494","22,824",1,"14,308",12,0,119,100
304,Pontic,Ποντιακά,pnt,479,"2,032","35,107",1,"9,389",10,0,--,100
305,Adyghe,Адыгэбзэ,ady,451,"3,054","11,971",1,"5,904",11,0,--,100
306,Tyap,Tyap,kcg,430,"1,434","14,775",0,353,16,0,--,100
307,Fula,Fulfulde,ff,418,"2,344","23,663",0,"7,782",18,0,--,100
308,Inupiak,Iñupiatun,ik,413,"2,54","37,471",1,"7,88",13,0,--,100
309,Ewe,Eʋegbe,ee,384,"3,043","49,407",2,"13,155",15,0,--,100
310,Dinka,Thuɔŋjäŋ,din,301,"1,08","7,271",1,"5,64",8,0,--,100
311,Sango,Sängö,sg,283,"1,979","20,46",2,"5,932",10,0,--,100
312,Paiwan,Paiwan,pwn,273,422,"8,243",0,776,8,0,--,100
313,Greenlandic,Kalaallisut,kl,242,"2,253","74,425",2,"12,202",13,0,--,100
314,Tigrinya,ትግርኛ,ti,232,"2,719","23,682",2,"8,398",10,0,--,100
315,Dzongkha,ཇོང་ཁ,dz,227,"2,227","29,231",1,"9,125",17,0,--,100
316,Cree,Nehiyaw,cr,158,"2,153","36,838",2,"16,609",15,0,--,100
317,Ndonga,Ndonga,ng,8,443,"5,923",1,"2,385",0,0,--,10
318,Choctaw,Choctaw,cho,6,201,"4,22",1,"1,809",0,0,--,10
319,Kuanyama,Kuanyama,kj,4,114,"3,548",1,"1,376",0,0,--,10
320,Marshallese,Ebon,mh,4,206,"4,212",1,"2,14",0,0,--,10
321,Hiri Motu,Hiri Motu,ho,3,129,"3,786",1,"1,575",0,0,--,10
322,Sichuan Yi,ꆇꉙ,ii,3,189,"11,653",1,"2,031",0,0,--,10
323,Northern Luri,لۊری شومالی,lrc,1,237,"140,064",1,"5,036",2,0,--,10
324,Muscogee,Muskogee,mus,1,115,"3,603",1,"2,348",1,0,--,10
325,Afar,Afar,aa,0,509,"4,686",1,"4,061",3,0,--,0
326,Herero,Otsiherero,hz,0,176,"4,483",1,"3,761",1,0,--,0
327,Kanuri,Kanuri,kr,0,162,"4,641",1,"5,464",0,0,--,0
