№,Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
60,Tamil,தமிழ்,ta,"147,298","463,812","3,446,367",31,"206,151",301,"8,059",34,100000
61,Latin,Latina,la,"137,076","275,487","3,681,870",21,"157,037",151,0,14,100000
62,Welsh,Cymraeg,cy,"134,91","273,738","11,087,724",16,"73,152",130,"11,264",43,100000
63,Asturian,Asturianu,ast,"129,767","228,104","3,686,679",11,"105,798",109,0,9,100000
64,Macedonian,Македонски,mk,"129,288","523,158","4,775,859",12,"102,621",225,"8,67",85,100000
65,Cantonese,粵語,zh-yue,"125,12","282,129","1,841,856",12,"241,974",299,"2,623",10,100000
66,Bengali,বাংলা,bn,"124,712","980,225","5,958,788",14,"380,106","1,199","15,111",286,100000
67,Volapük,Volapük,vo,"122,399","255,102","3,268,273",2,"32,169",34,0,15,100000
68,Latvian,Latviešu,lv,"114,207","464,474","3,638,490",13,"107,262",282,"25,437",74,100000
69,Tajik,Тоҷикӣ,tg,"107,426","262,042","1,305,059",6,"35,804",82,485,10,100000
70,Afrikaans,Afrikaans,af,"103,823","371,733","2,505,390",16,"150,794",178,"9,609",45,100000
71,Burmese,မြန်မာဘာသာ,my,"103,53","215,344","749,735",4,"102,036",135,"2,978",4,100000
72,Malagasy,Malagasy,mg,"94,814","245,001","1,045,031",3,"28,604",49,3,11,10000
73,Bosnian,Bosanski,bs,"90,21","367,372","3,411,340",9,"143,672",152,"5,456",88,10000
74,Occitan,Occitan,oc,"87,373","156,027","2,305,308",4,"48,065",83,924,9,10000
75,Albanian,Shqip,sq,"85,772","262,392","2,457,452",11,"142,945",218,"4,725",40,10000
76,Marathi,मराठी,mr,"84,89","282,804","2,130,427",11,"144,68",175,"19,141",41,10000
77,Low Saxon,Plattdüütsch,nds,"83,819","161,919","989,295",4,"48,713",41,0,5,10000
78,Kyrgyz,Кыргызча,ky,"81,413","111,063","421,303",2,"32,85",66,"2,688",1,10000
79,Malayalam,മലയാളം,ml,"78,712","486,396","3,695,624",15,"162,093",261,"6,951",204,10000
80,Belarusian (Taraškievica),Беларуская (тарашкевіца),be-tarask,"78,493","225,555","2,318,681",4,"75,724",124,"1,86",36,10000
81,Telugu,తెలుగు,te,"77,225","304,369","3,578,133",13,"113,576",166,"13,177",102,10000
82,Swahili,Kiswahili,sw,"73,91","146,367","1,229,309",14,"54,366",175,"2,269",8,10000
83,Newar,नेपाल भाषा,new,"72,352","196,934","848,657",2,"24,895",17,0,13,10000
84,Breton,Brezhoneg,br,"72,024","140,964","1,997,913",6,"69,648",75,"5,401",13,10000
85,Javanese,Basa Jawa,jv,"69,265","176,862","1,590,715",4,"53,507",77,"5,43",22,10000
86,Venetian,Vèneto,vec,"68,961","140,302","1,099,473",5,"31,865",47,724,8,10000
